__time,/turtle1/cmd_vel/angular/x,/turtle1/cmd_vel/angular/y,/turtle1/cmd_vel/angular/z,/turtle1/cmd_vel/linear/x,/turtle1/cmd_vel/linear/y,/turtle1/cmd_vel/linear/z,/turtle2/cmd_vel/angular/x,/turtle2/cmd_vel/angular/y,/turtle2/cmd_vel/angular/z,/turtle2/cmd_vel/linear/x,/turtle2/cmd_vel/linear/y,/turtle2/cmd_vel/linear/z
1396293888.886,,,,,,,0.000000,0.000000,-1.286809,1.723382,0.000000,0.000000
1396293888.985,,,,,,,0.000000,0.000000,-0.764631,1.629651,0.000000,0.000000
1396293889.085,,,,,,,0.000000,0.000000,-0.500797,1.552347,0.000000,0.000000
1396293889.185,,,,,,,0.000000,0.000000,-0.328047,1.478210,0.000000,0.000000
1396293889.286,,,,,,,0.000000,0.000000,-0.214902,1.407410,0.000000,0.000000
1396293889.385,,,,,,,0.000000,0.000000,-0.036581,1.338300,0.000000,0.000000
1396293889.454,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293889.485,,,,,,,0.000000,0.000000,0.255371,1.307171,0.000000,0.000000
1396293889.586,,,,,,,0.000000,0.000000,0.444170,1.284017,0.000000,0.000000
1396293889.686,,,,,,,0.000000,0.000000,0.562077,1.268411,0.000000,0.000000
1396293889.785,,,,,,,0.000000,0.000000,0.641161,1.258767,0.000000,0.000000
1396293889.885,,,,,,,0.000000,0.000000,0.668747,1.257010,0.000000,0.000000
1396293889.955,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293889.986,,,,,,,0.000000,0.000000,0.673503,1.260397,0.000000,0.000000
1396293889.987,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.017,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.047,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.078,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.086,,,,,,,0.000000,0.000000,0.662062,1.268093,0.000000,0.000000
1396293890.108,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.138,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.168,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.185,,,,,,,0.000000,0.000000,0.634082,1.281536,0.000000,0.000000
1396293890.199,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.229,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.260,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.286,,,,,,,0.000000,0.000000,0.603704,1.296121,0.000000,0.000000
1396293890.291,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.321,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.352,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.382,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.385,,,,,,,0.000000,0.000000,0.569218,1.312898,0.000000,0.000000
1396293890.412,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.442,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.472,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.486,,,,,,,0.000000,0.000000,0.532426,1.331275,0.000000,0.000000
1396293890.502,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.532,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.563,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.585,,,,,,,0.000000,0.000000,0.487662,1.354367,0.000000,0.000000
1396293890.594,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.624,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.654,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.684,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.686,,,,,,,0.000000,0.000000,0.451704,1.374949,0.000000,0.000000
1396293890.714,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.744,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.775,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.786,,,,,,,0.000000,0.000000,0.417042,1.396079,0.000000,0.000000
1396293890.805,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.835,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.865,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.886,,,,,,,0.000000,0.000000,0.384051,1.417440,0.000000,0.000000
1396293890.895,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.925,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.956,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293890.985,,,,,,,0.000000,0.000000,0.346906,1.442523,0.000000,0.000000
1396293890.986,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293891.016,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293891.046,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293891.076,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293891.086,,,,,,,0.000000,0.000000,0.318871,1.463794,0.000000,0.000000
1396293891.107,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293891.137,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293891.158,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,,,,,,
1396293891.186,,,,,,,0.000000,0.000000,0.266062,1.454368,0.000000,0.000000
1396293891.286,,,,,,,0.000000,0.000000,0.174422,1.384752,0.000000,0.000000
1396293891.386,,,,,,,0.000000,0.000000,0.103838,1.307155,0.000000,0.000000
1396293891.486,,,,,,,0.000000,0.000000,0.068020,1.244421,0.000000,0.000000
1396293891.586,,,,,,,0.000000,0.000000,0.044567,1.184709,0.000000,0.000000
1396293891.660,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,,,,,,
1396293891.686,,,,,,,0.000000,0.000000,0.029201,1.127870,0.000000,0.000000
1396293891.690,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,,,,,,
1396293891.720,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,,,,,,
1396293891.751,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,,,,,,
1396293891.781,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,,,,,,
1396293891.786,,,,,,,0.000000,0.000000,0.017395,1.064667,0.000000,0.000000
1396293891.812,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,,,,,,
1396293891.842,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,,,,,,
1396293891.854,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293891.886,,,,,,,0.000000,0.000000,0.136774,1.009391,0.000000,0.000000
1396293891.986,,,,,,,0.000000,0.000000,0.489936,0.954838,0.000000,0.000000
1396293892.086,,,,,,,0.000000,0.000000,0.742020,0.913424,0.000000,0.000000
1396293892.186,,,,,,,0.000000,0.000000,0.949002,0.881551,0.000000,0.000000
1396293892.286,,,,,,,0.000000,0.000000,1.052088,0.867889,0.000000,0.000000
1396293892.355,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293892.386,,,,,,,0.000000,0.000000,1.104629,0.865444,0.000000,0.000000
1396293892.387,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293892.417,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293892.447,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293892.477,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293892.486,,,,,,,0.000000,0.000000,1.115974,0.872898,0.000000,0.000000
1396293892.508,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293892.538,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293892.568,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293892.586,,,,,,,0.000000,0.000000,1.084780,0.891735,0.000000,0.000000
1396293892.599,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293892.630,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293892.661,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293892.686,,,,,,,0.000000,0.000000,1.032272,0.914698,0.000000,0.000000
1396293892.692,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
1396293892.722,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,,,,,,
